_id,status,data.city,data.state,data.country,data.location.type,data.location.coordinates,data.current.weather.ts,data.current.weather.tp,data.current.weather.pr,data.current.weather.hu,data.current.weather.ws,data.current.weather.wd,data.current.weather.ic,data.current.pollution.ts,data.current.pollution.aqius,data.current.pollution.mainus,data.current.pollution.aqicn,data.current.pollution.maincn
5ee4e5f19ae5d010d5ad047c,success,Abidjan,Abidjan,Ivory Coast,Point,"[-3.9887583,5.3700222]",2020-06-13T02:00:00.000Z,27,1011,88,3.6,190,03n,2020-06-13T02:00:00.000Z,61,p2,24,p2
5ee4e5f19ae5d010d5ad047d,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad047e,success,Accra,Greater Accra,Ghana,Point,"[-0.186964,5.603717]",2020-06-13T02:00:00.000Z,26,1012,94,2.1,210,02n,2020-06-13T02:00:00.000Z,70,p2,30,p2
5ee4e5f19ae5d010d5ad047f,success,Vecindario,Canarias,Spain,Point,"[-15.461138,27.801281]",2020-06-13T02:00:00.000Z,20,1019,68,3.1,20,03n,2020-06-13T01:00:00.000Z,9,p1,10,p1
5ee4e5f19ae5d010d5ad0480,success,Ziguinchor,Ziguinchor,Senegal,Point,"[-16.27326,12.56801]",2020-06-13T02:00:00.000Z,27,1012,94,2.1,240,04n,2020-06-13T02:00:00.000Z,26,p2,9,p2
5ee4e5f19ae5d010d5ad0481,success,Bamako,Bamako,Mali,Point,"[-8,12.65]",2020-06-13T02:00:00.000Z,29,1012,62,1.5,220,02n,2020-06-13T02:00:00.000Z,84,p2,40,p2
5ee4e5f19ae5d010d5ad0482,success,Baie-Mahault,Guadeloupe,France,Point,"[-61.58543,16.26738]",2020-06-13T02:00:00.000Z,27,1014,78,2.6,120,03n,2020-06-13T02:00:00.000Z,4,o3,4,n2
5ee4e5f19ae5d010d5ad0483,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad0484,success,La Línea de la Concepción,Andalucía,Spain,Point,"[-5.34777,36.16809]",2020-06-13T02:00:00.000Z,19,1015,72,6.2,270,02n,2020-06-13T02:00:00.000Z,31,p2,11,p2
5ee4e5f19ae5d010d5ad0485,success,Kinshasa,Kinshasa,Democratic Republic of the Congo,Point,"[15.31366,-4.30068]",2020-06-13T02:00:00.000Z,22,1013,85,0.79,253,01n,2020-06-13T02:00:00.000Z,158,p2,93,p2
5ee4e5f19ae5d010d5ad0486,success,Nafpaktos,West Greece,Greece,Point,"[21.7986,38.3804]",2020-06-13T02:00:00.000Z,12,1011,77,1.41,242,02n,2020-06-13T02:00:00.000Z,25,p2,9,p2
